Barcode,Cluster
c0,1
c1,1
c2,1
c3,1
c4,1
c5,1
c6,1
c7,1
c8,1
c9,1
c10,1
c11,1
c12,1
c13,1
c14,1
c15,1
c16,1
c17,1
c18,1
c19,1
c20,1
c21,1
c22,1
c23,1
c24,1
c25,1
c26,1
c27,1
c28,1
c29,1
c30,1
c31,1
c32,1
c33,1
c34,1
c35,1
c36,1
c37,1
c38,1
c39,1
c40,1
c41,1
c42,1
c43,1
c44,1
c45,1
c46,1
c47,1
c48,1
c49,1
c50,2
c51,2
c52,2
c53,2
c54,2
c55,2
c56,2
c57,2
c58,2
c59,2
c60,2
c61,2
c62,2
c63,2
c64,2
c65,2
c66,2
c67,2
c68,2
c69,2
c70,2
c71,2
c72,2
c73,2
c74,2
c75,2
c76,2
c77,2
c78,2
c79,2
c80,2
c81,2
c82,2
c83,2
c84,2
c85,2
c86,2
c87,2
c88,2
c89,2
c90,2
c91,2
c92,2
c93,2
c94,2
c95,2
c96,2
c97,2
c98,2
c99,2
c100,2
c101,2
c102,2
c103,2
c104,2
c105,2
c106,2
c107,2
c108,2
c109,2
c110,2
c111,2
c112,2
c113,2
c114,2
c115,2
c116,2
c117,2
c118,2
c119,2
c120,2
c121,2
c122,2
c123,2
c124,2
c125,2
c126,2
c127,2
c128,2
c129,2
c130,2
c131,2
c132,2
c133,2
c134,2
c135,2
c136,2
c137,2
c138,2
c139,2
c140,2
c141,2
c142,2
c143,2
c144,2
c145,2
c146,2
c147,2
c148,2
c149,2
c150,2
c151,2
c152,2
c153,2
c154,2
c155,2
c156,2
c157,2
c158,2
c159,2
c160,2
c161,2
c162,2
c163,3
c164,3
c165,3
c166,3
c167,3
c168,3
c169,3
c170,3
c171,3
c172,3
c173,3
c174,3
c175,3
c176,3
c177,3
c178,3
c179,3
c180,3
c181,3
c182,3
c183,3
c184,3
c185,3
c186,3
c187,3
c188,3
c189,3
c190,3
c191,3
c192,3
c193,3
c194,3
c195,3
c196,3
c197,3
c198,3
c199,3
c200,3
c201,3
c202,3
c203,3
c204,3
c205,3
c206,3
c207,3
c208,3
c209,3
c210,3
c211,3
c212,3
c213,3
c214,3
c215,3
c216,3
c217,3
c218,3
c219,3
c220,3
c221,3
c222,3
c223,3
c224,3
c225,3
c226,3
c227,3
c228,3
c229,3
c230,3
c231,3
c232,3
c233,3
c234,3
c235,3
c236,3
c237,3
c238,3
c239,3
c240,3
c241,3
c242,3
c243,3
c244,3
c245,3
c246,3
c247,3
c248,3
c249,3
c250,3
c251,3
c252,3
c253,3
c254,3
c255,3
c256,3
c257,3
c258,3
c259,3
c260,3
c261,3
c262,3
c263,3
c264,3
c265,3
c266,3
c267,3
c268,3
c269,3
c270,3
c271,3
c272,3
c273,3
c274,3
c275,4
c276,4
c277,4
c278,4
c279,4
c280,4
c281,4
c282,4
c283,4
c284,4
c285,4
c286,4
c287,4
c288,4
c289,4
c290,4
c291,4
c292,4
c293,4
c294,4
c295,4
c296,4
c297,4
c298,4
c299,4
c300,4
c301,4
c302,4
c303,4
c304,4
c305,4
c306,4
c307,4
c308,4
c309,4
c310,4
c311,4
c312,4
c313,4
c314,4
c315,4
c316,4
c317,4
c318,4
c319,4
c320,4
c321,4
c322,4
c323,4
c324,4
c325,4
c326,4
c327,4
c328,4
c329,4
c330,4
c331,4
c332,4
c333,4
c334,4
c335,4
c336,4
c337,4
c338,4
c339,4
c340,4
c341,4
c342,4
c343,4
c344,4
c345,4
c346,4
c347,4
c348,4
c349,4
c350,4
c351,4
c352,4
c353,4
c354,4
c355,4
c356,4
c357,4
c358,4
c359,4
c360,4
c361,4
c362,4
c363,4
c364,4
c365,4
c366,4
c367,4
c368,4
c369,4
c370,4
c371,4
c372,4
c373,4
c374,4
c375,4
c376,4
c377,4
c378,4
c379,4
c380,4
c381,4
c382,4
c383,4
c384,4
c385,4
c386,4
c387,4
c388,5
c389,5
c390,5
c391,5
c392,5
c393,5
c394,5
c395,5
c396,5
c397,5
c398,5
c399,5
c400,5
c401,5
c402,5
c403,5
c404,5
c405,5
c406,5
c407,5
c408,5
c409,5
c410,5
c411,5
c412,5
c413,5
c414,5
c415,5
c416,5
c417,5
c418,5
c419,5
c420,5
c421,5
c422,5
c423,5
c424,5
c425,5
c426,5
c427,5
c428,5
c429,5
c430,5
c431,5
c432,5
c433,5
c434,5
c435,5
c436,5
c437,5
c438,5
c439,5
c440,5
c441,5
c442,5
c443,5
c444,5
c445,5
c446,5
c447,5
c448,5
c449,5
c450,5
c451,5
c452,5
c453,5
c454,5
c455,5
c456,5
c457,5
c458,5
c459,5
c460,5
c461,5
c462,5
c463,5
c464,5
c465,5
c466,5
c467,5
c468,5
c469,5
c470,5
c471,5
c472,5
c473,5
c474,5
c475,5
c476,5
c477,5
c478,5
c479,5
c480,5
c481,5
c482,5
c483,5
c484,5
c485,5
c486,5
c487,5
c488,5
c489,5
c490,5
c491,5
c492,5
c493,5
c494,5
c495,5
c496,5
c497,5
c498,5
c499,5
