Barcode,Cluster
cell_0,1
cell_1,4
cell_2,2
cell_3,5
cell_4,6
cell_5,7
cell_6,8
cell_7,9
cell_8,7
cell_9,8
cell_10,1
cell_11,2
cell_12,10
cell_13,3
cell_14,12
cell_15,13
cell_16,7
cell_17,2
cell_18,13
cell_19,2
cell_20,2
cell_21,7
cell_22,2
cell_23,14
cell_24,6
cell_25,15
cell_26,16
cell_27,2
cell_28,7
cell_29,2
cell_30,7
cell_31,7
cell_32,2
cell_33,1
cell_34,17
cell_35,10
cell_36,2
cell_37,18
cell_38,2
cell_39,2
cell_40,7
cell_41,15
cell_42,3
cell_43,19
cell_44,1
cell_45,12
cell_46,10
cell_47,3
cell_48,2
cell_49,2
cell_50,1
cell_51,2
cell_52,16
cell_53,2
cell_54,2
cell_55,20
cell_56,7
cell_57,11
cell_58,5
cell_59,20
cell_60,21
cell_61,21
cell_62,21
cell_63,21
cell_64,18
cell_65,7
cell_66,19
cell_67,7
cell_68,2
cell_69,2
cell_70,7
cell_71,23
cell_72,7
cell_73,2
cell_74,24
cell_75,2
cell_76,7
cell_77,8
cell_78,16
cell_79,2
cell_80,2
cell_81,2
cell_82,16
cell_83,25
cell_84,2
cell_85,15
cell_86,26
cell_87,1
cell_88,10
cell_89,2
cell_90,2
cell_91,8
cell_92,22
cell_93,3
cell_94,4
cell_95,3
cell_96,25
cell_97,22
cell_98,2
cell_99,10
cell_100,21
cell_101,25
cell_102,28
cell_103,7
cell_104,3
cell_105,19
cell_106,28
cell_107,2
cell_108,2
cell_109,8
cell_110,3
cell_111,5
cell_112,8
cell_113,2
cell_114,1
cell_115,26
cell_116,2
cell_117,22
cell_118,22
cell_119,22
cell_120,29
cell_121,2
cell_122,2
cell_123,2
cell_124,14
cell_125,14
cell_126,14
cell_127,14
cell_128,10
cell_129,5
cell_130,3
cell_131,7
cell_132,20
cell_133,19
cell_134,24
cell_135,18
cell_136,4
cell_137,2
cell_138,18
cell_139,7
cell_140,30
cell_141,18
cell_142,7
cell_143,4
cell_144,3
cell_145,2
cell_146,2
cell_147,16
cell_148,14
cell_149,25
cell_150,2
cell_151,2
cell_152,19
cell_153,2
cell_154,2
cell_155,12
cell_156,2
cell_157,2
cell_158,2
cell_159,2
cell_160,26
cell_161,2
cell_162,31
cell_163,2
cell_164,2
cell_165,1
cell_166,2
cell_167,7
cell_168,3
cell_169,7
cell_170,2
cell_171,32
cell_172,13
cell_173,21
cell_174,21
cell_175,2
cell_176,31
cell_177,25
cell_178,25
cell_179,25
cell_180,25
cell_181,2
cell_182,2
cell_183,2
cell_184,2
cell_185,5
cell_186,7
cell_187,10
cell_188,2
cell_189,33
cell_190,2
cell_191,3
cell_192,14
cell_193,10
cell_194,2
cell_195,4
cell_196,2
cell_197,7
cell_198,22
cell_199,13
cell_200,2
cell_201,2
cell_202,29
cell_203,2
cell_204,2
cell_205,5
cell_206,34
cell_207,25
cell_208,2
cell_209,7
cell_210,14
cell_211,2
cell_212,2
cell_213,7
cell_214,7
cell_215,2
cell_216,3
cell_217,7
cell_218,2
cell_219,1
cell_220,18
cell_221,2
cell_222,26
cell_223,2
cell_224,7
cell_225,25
cell_226,2
cell_227,35
cell_228,32
cell_229,19
cell_230,2
cell_231,16
cell_232,2
cell_233,14
cell_234,2
cell_235,15
cell_236,2
cell_237,5
cell_238,2
cell_239,10
cell_240,31
cell_241,19
cell_242,2
cell_243,16
cell_244,2
cell_245,2
cell_246,14
cell_247,13
cell_248,10
cell_249,2
cell_250,22
cell_251,2
cell_252,4
cell_253,25
cell_254,8
cell_255,2
cell_256,18
cell_257,24
cell_258,2
cell_259,8
cell_260,11
cell_261,5
cell_262,25
cell_263,36
cell_264,2
cell_265,18
cell_266,2
cell_267,7
cell_268,2
cell_269,8
cell_270,8
cell_271,1
cell_272,10
cell_273,22
cell_274,27
cell_275,10
cell_276,1
cell_277,3
cell_278,6
cell_279,2
cell_280,13
cell_281,29
cell_282,1
cell_283,13
cell_284,6
cell_285,7
cell_286,7
cell_287,2
cell_288,2
cell_289,2
cell_290,8
cell_291,2
cell_292,16
cell_293,7
cell_294,1
cell_295,2
cell_296,3
cell_297,7
cell_298,7
cell_299,2
cell_300,26
cell_301,7
cell_302,26
cell_303,2
cell_304,6
cell_305,22
cell_306,18
cell_307,25
cell_308,9
cell_309,7
cell_310,13
cell_311,19
cell_312,13
cell_313,13
cell_314,13
cell_315,13
cell_316,7
cell_317,7
cell_318,2
cell_319,16
cell_320,2
cell_321,7
cell_322,7
cell_323,1
cell_324,7
cell_325,7
cell_326,2
cell_327,2
cell_328,7
cell_329,3
cell_330,2
cell_331,2
cell_332,3
cell_333,29
cell_334,2
cell_335,24
cell_336,6
cell_337,35
cell_338,21
cell_339,6
cell_340,3
cell_341,2
cell_342,19
cell_343,2
cell_344,5
cell_345,18
cell_346,3
cell_347,2
cell_348,2
cell_349,27
cell_350,2
cell_351,2
cell_352,2
cell_353,2
cell_354,7
cell_355,35
cell_356,13
cell_357,1
cell_358,14
cell_359,2
cell_360,2
cell_361,9
cell_362,16
cell_363,2
cell_364,2
cell_365,2
cell_366,7
cell_367,14
cell_368,2
cell_369,2
cell_370,31
cell_371,2
